metarCloudInformationKey;initialValidDateKey;initialValidTimeKey;aerodromeCode;isSpeci;cloudQuantity;cloudHeight;cloudType;referenceLoadFile
1819726;20150111;9030000;LEMD;0;FEW;2000;;LEMD-20150111-20150112.pdf
1819727;20150111;9033000;LEMD;0;FEW;2000;;LEMD-20150111-20150112.pdf
1819728;20150111;9110000;LEMD;0;FEW;2000;;LEMD-20150111-20150112.pdf
1822389;20150114;9040000;LEMD;0;FEW;5000;;LEMD-20150114-20150115.pdf
1822390;20150114;9043000;LEMD;0;FEW;5000;;LEMD-20150114-20150115.pdf
1822391;20150114;9050000;LEMD;0;FEW;5000;;LEMD-20150114-20150115.pdf
1822392;20150114;9080000;LEMD;0;FEW;800;;LEMD-20150114-20150115.pdf
1822393;20150114;9083000;LEMD;0;FEW;400;;LEMD-20150114-20150115.pdf
1822394;20150114;9083000;LEMD;0;SCT;4500;;LEMD-20150114-20150115.pdf
1822395;20150114;9090000;LEMD;0;FEW;600;;LEMD-20150114-20150115.pdf
1822396;20150114;9090000;LEMD;0;SCT;4500;;LEMD-20150114-20150115.pdf
1822397;20150114;9093000;LEMD;0;SCT;800;;LEMD-20150114-20150115.pdf
1822398;20150114;9093000;LEMD;0;SCT;4500;;LEMD-20150114-20150115.pdf
1822399;20150114;9100000;LEMD;0;SCT;800;;LEMD-20150114-20150115.pdf
1822400;20150114;9100000;LEMD;0;SCT;1100;;LEMD-20150114-20150115.pdf
1822401;20150114;9103000;LEMD;0;SCT;800;;LEMD-20150114-20150115.pdf
1822402;20150114;9103000;LEMD;0;SCT;1100;;LEMD-20150114-20150115.pdf
1822403;20150114;9110000;LEMD;0;SCT;500;;LEMD-20150114-20150115.pdf
1822404;20150114;9110000;LEMD;0;SCT;900;;LEMD-20150114-20150115.pdf
1822405;20150114;9113000;LEMD;0;SCT;500;;LEMD-20150114-20150115.pdf
1822406;20150114;9113000;LEMD;0;SCT;800;;LEMD-20150114-20150115.pdf
1822407;20150114;9120000;LEMD;0;SCT;400;;LEMD-20150114-20150115.pdf
1822408;20150114;9120000;LEMD;0;SCT;800;;LEMD-20150114-20150115.pdf
1822421;20150114;9123000;LEMD;0;SCT;600;;LEMD-20150114-20150115.pdf
1822422;20150114;9123000;LEMD;0;SCT;900;;LEMD-20150114-20150115.pdf
1822423;20150114;9130000;LEMD;0;SCT;600;;LEMD-20150114-20150115.pdf
1822424;20150114;9130000;LEMD;0;SCT;900;;LEMD-20150114-20150115.pdf
1822425;20150114;9133000;LEMD;0;SCT;600;;LEMD-20150114-20150115.pdf
1822426;20150114;9133000;LEMD;0;SCT;1000;;LEMD-20150114-20150115.pdf
1822427;20150114;9140000;LEMD;0;SCT;700;;LEMD-20150114-20150115.pdf
1822428;20150114;9140000;LEMD;0;SCT;1000;;LEMD-20150114-20150115.pdf
1822429;20150114;9143000;LEMD;0;SCT;800;;LEMD-20150114-20150115.pdf
1822430;20150114;9143000;LEMD;0;BKN;1100;;LEMD-20150114-20150115.pdf
1822431;20150114;9150000;LEMD;0;SCT;900;;LEMD-20150114-20150115.pdf
1822432;20150114;9150000;LEMD;0;BKN;1200;;LEMD-20150114-20150115.pdf
1822433;20150114;9153000;LEMD;0;SCT;1000;;LEMD-20150114-20150115.pdf
1822434;20150114;9153000;LEMD;0;BKN;1400;;LEMD-20150114-20150115.pdf
1822435;20150114;9155500;LEMD;1;SCT;1200;;LEMD-20150114-20150115.pdf
1822436;20150114;9155500;LEMD;1;BKN;1700;;LEMD-20150114-20150115.pdf
1822437;20150114;9160000;LEMD;0;SCT;1200;;LEMD-20150114-20150115.pdf
1822438;20150114;9160000;LEMD;0;BKN;1700;;LEMD-20150114-20150115.pdf
1822439;20150114;9163000;LEMD;0;SCT;1600;;LEMD-20150114-20150115.pdf
1822440;20150114;9163000;LEMD;0;BKN;2000;;LEMD-20150114-20150115.pdf
1822441;20150114;9170000;LEMD;0;SCT;1500;;LEMD-20150114-20150115.pdf
1822442;20150114;9170000;LEMD;0;BKN;2200;;LEMD-20150114-20150115.pdf
1822443;20150114;9173000;LEMD;0;SCT;1300;;LEMD-20150114-20150115.pdf
1822444;20150114;9173000;LEMD;0;BKN;1800;;LEMD-20150114-20150115.pdf
1822445;20150114;9180000;LEMD;0;SCT;1300;;LEMD-20150114-20150115.pdf
1822446;20150114;9180000;LEMD;0;BKN;1800;;LEMD-20150114-20150115.pdf
1822447;20150114;9183000;LEMD;0;SCT;1500;;LEMD-20150114-20150115.pdf
1822448;20150114;9183000;LEMD;0;BKN;1800;;LEMD-20150114-20150115.pdf
1822409;20150114;9190000;LEMD;0;SCT;1500;;LEMD-20150114-20150115.pdf
1822410;20150114;9190000;LEMD;0;BKN;1800;;LEMD-20150114-20150115.pdf
1822411;20150114;9193000;LEMD;0;SCT;1800;;LEMD-20150114-20150115.pdf
1822412;20150114;9193000;LEMD;0;BKN;2000;;LEMD-20150114-20150115.pdf
1822413;20150114;9200000;LEMD;0;BKN;1800;;LEMD-20150114-20150115.pdf
1822414;20150114;9203000;LEMD;0;BKN;1800;;LEMD-20150114-20150115.pdf
1822415;20150114;9210000;LEMD;0;OVC;1400;;LEMD-20150114-20150115.pdf
1822416;20150114;9213000;LEMD;0;OVC;1500;;LEMD-20150114-20150115.pdf
1822417;20150114;9220000;LEMD;0;OVC;1500;;LEMD-20150114-20150115.pdf
1822418;20150114;9223000;LEMD;0;OVC;1600;;LEMD-20150114-20150115.pdf
1822419;20150114;9230000;LEMD;0;OVC;1600;;LEMD-20150114-20150115.pdf
1822420;20150114;9233000;LEMD;0;OVC;1600;;LEMD-20150114-20150115.pdf
1823910;20150115;9000000;LEMD;0;OVC;1800;;LEMD-20150115-20150116.pdf
1823911;20150115;9003000;LEMD;0;OVC;2000;;LEMD-20150115-20150116.pdf
1823912;20150115;9010000;LEMD;0;OVC;2000;;LEMD-20150115-20150116.pdf
1823913;20150115;9013000;LEMD;0;OVC;2000;;LEMD-20150115-20150116.pdf
1823914;20150115;9020000;LEMD;0;OVC;2200;;LEMD-20150115-20150116.pdf
1823915;20150115;9023000;LEMD;0;FEW;1000;;LEMD-20150115-20150116.pdf
1823916;20150115;9023000;LEMD;0;OVC;2400;;LEMD-20150115-20150116.pdf
1823917;20150115;9030000;LEMD;0;SCT;1000;;LEMD-20150115-20150116.pdf
1823918;20150115;9030000;LEMD;0;OVC;2000;;LEMD-20150115-20150116.pdf
1823919;20150115;9033000;LEMD;0;SCT;900;;LEMD-20150115-20150116.pdf
1823920;20150115;9033000;LEMD;0;OVC;2000;;LEMD-20150115-20150116.pdf
1823921;20150115;9040000;LEMD;0;SCT;800;;LEMD-20150115-20150116.pdf
1823922;20150115;9040000;LEMD;0;OVC;2200;;LEMD-20150115-20150116.pdf
1823923;20150115;9041900;LEMD;1;BKN;800;;LEMD-20150115-20150116.pdf
1823924;20150115;9041900;LEMD;1;OVC;2200;;LEMD-20150115-20150116.pdf
1823925;20150115;9043000;LEMD;0;BKN;700;;LEMD-20150115-20150116.pdf
1823926;20150115;9043000;LEMD;0;OVC;2000;;LEMD-20150115-20150116.pdf
1823927;20150115;9050000;LEMD;0;BKN;700;;LEMD-20150115-20150116.pdf
1823928;20150115;9050000;LEMD;0;OVC;2000;;LEMD-20150115-20150116.pdf
